day,blocks,p50,p80,p90,p99
2025-06-18 00:00:00.000 UTC,7148,0.019642364231084057,0.019642364231084057,0.05654278686514887,0.2674535504968544
2025-06-19 00:00:00.000 UTC,7156,0.022717943335528575,0.022717943335528575,0.06420060864560256,0.21155483457353072
2025-06-20 00:00:00.000 UTC,7143,0.019521573413925908,0.019521573413925908,0.05578790476601504,0.4123607576555146
2025-06-21 00:00:00.000 UTC,7152,0.015447962459182573,0.015447962459182573,0.051763718750813516,0.49094419121901206
2025-06-22 00:00:00.000 UTC,7141,0.02730920520232879,0.02730920520232879,0.10290431657182916,0.7214550358767182
2025-06-23 00:00:00.000 UTC,7147,0.03186567492374411,0.03186567492374411,0.09681150737666659,0.4960562307149755
2025-06-24 00:00:00.000 UTC,7164,0.02850181001868884,0.02850181001868884,0.06856825519003357,0.2830983388922019
2025-06-25 00:00:00.000 UTC,7159,0.023365166028919943,0.023365166028919943,0.05458928083260995,0.23669630061356656
2025-06-26 00:00:00.000 UTC,7155,0.023092282261480575,0.023092282261480575,0.058586540726463604,0.34650094746474724
2025-06-27 00:00:00.000 UTC,7148,0.02027144558464423,0.02027144558464423,0.04916941975822678,0.16925885498051446
2025-06-28 00:00:00.000 UTC,7152,0.01439310402935353,0.01439310402935353,0.03299537541587828,0.09743060903957185
2025-06-29 00:00:00.000 UTC,7132,0.014425134477715316,0.014425134477715316,0.033736714274452045,0.16412248548802816
2025-06-30 00:00:00.000 UTC,7156,0.023319854238055417,0.023319854238055417,0.05876423733049209,0.19410178676761264
2025-07-01 00:00:00.000 UTC,7147,0.021828322937573905,0.021828322937573905,0.056684279272916555,0.1969514415511761
2025-07-02 00:00:00.000 UTC,7148,0.02039308843003618,0.02039308843003618,0.052087609172949426,0.30383532963186305
2025-07-03 00:00:00.000 UTC,7148,0.019063537522275565,0.019063537522275565,0.04832367188237018,0.21838040982600007
2025-07-04 00:00:00.000 UTC,7158,0.01780817916104572,0.01780817916104572,0.040741333520219296,0.15599144457309533
2025-07-05 00:00:00.000 UTC,7139,0.0149719450763641,0.0149719450763641,0.039581137646421266,0.16236066841163102
2025-07-06 00:00:00.000 UTC,7147,0.016449168411666795,0.016449168411666795,0.040035871268071656,0.1506124615217128
2025-07-07 00:00:00.000 UTC,7151,0.022738586473166393,0.022738586473166393,0.05435165714767695,0.2287590803767151
2025-07-08 00:00:00.000 UTC,7155,0.02179949479770159,0.02179949479770159,0.05108770481563607,0.1940719402741144
2025-07-09 00:00:00.000 UTC,7139,0.02433648393367729,0.02433648393367729,0.06256463179405583,0.2942320822604695
2025-07-10 00:00:00.000 UTC,7160,0.0289304881535714,0.0289304881535714,0.07652923768534543,0.48031433022061254
2025-07-11 00:00:00.000 UTC,7149,0.032513544332883455,0.032513544332883455,0.08116457776357436,0.32811527187939254
2025-07-12 00:00:00.000 UTC,7160,0.0206883060686852,0.0206883060686852,0.04203057011955525,0.14852313858197225
2025-07-13 00:00:00.000 UTC,7156,0.022285694313129194,0.022285694313129194,0.04823713046038207,0.13798755770119042
2025-07-14 00:00:00.000 UTC,7157,0.03342053410492695,0.03342053410492695,0.07712829740207197,0.32335363194633904
2025-07-15 00:00:00.000 UTC,7165,0.02827933142191008,0.02827933142191008,0.07289028885476712,0.27423952237049776
2025-07-16 00:00:00.000 UTC,7158,0.034703663510509304,0.034703663510509304,0.08579892743749036,0.3151226774839704
2025-07-17 00:00:00.000 UTC,7171,0.033111744671763234,0.033111744671763234,0.08128252226475936,0.3393726732339768
2025-07-18 00:00:00.000 UTC,7161,0.03307968003139249,0.03307968003139249,0.08294048636529643,0.3941849305317212
2025-07-19 00:00:00.000 UTC,7134,0.020287464645038764,0.020287464645038764,0.03791784374218866,0.1228597450454827
2025-07-20 00:00:00.000 UTC,7154,0.026723666243615503,0.026723666243615503,0.07140842186613794,0.3587555024845724
2025-07-21 00:00:00.000 UTC,7153,0.03042114972802205,0.03042114972802205,0.07379981419029696,0.29044339910224265
2025-07-22 00:00:00.000 UTC,7139,0.02751299159653931,0.02751299159653931,0.0668770509735862,0.2379655131308283
